Customer_ID,Age,Gender,Marital_Status,Income,Total_Transaction_Count,Total_Transaction_Amount,Average_Transaction_Amount,Transaction_Frequency,Online_Banking_Usage,ATM_Usage,Mobile_App_Usage,Num_Active_Banking_Products,Credit_Score,Outstanding_Debt,Num_Savings_Accounts,Investment_Portfolio_Details,Location,State,Zip_Code,Branch_Proximity,Preferred_Communication_Channel,Preferred_Banking_Channel,Frequency_of_Logins,Duration_of_Online_Sessions,Response_to_Marketing_Campaigns,Length_of_Customer_Relationship,Churn_Status,Overdraft_Incidents,Late_Payments,Feedback_Scores,Customer_Service_Interactions
1,56,Male,Divorced,44327,94,5676.232853874266,51.08440182219571,Monthly,0,1,0,4,832,4042.0114989878057,2,Low,City_80,State_8,39984,3.1847778686778447,Phone,In-person,10,10.439829590405001,Medium,45,1,2,1,3,5
2,46,Male,Single,30946,90,6513.440817761913,180.05304271735073,Monthly,0,1,1,1,634,2975.585654123019,1,Low,City_50,State_9,25813,6.177271677262562,Phone,In-person,11,10.177049133610325,High,96,0,0,1,2,1
3,32,Male,Single,44693,35,2174.392777106244,215.34659473146607,Monthly,1,1,0,1,801,2739.572218383246,1,Medium,City_24,State_7,14466,2.936358573463044,SMS,Mobile,15,29.94047495073637,High,24,1,0,0,1,3
4,60,Female,Married,57241,14,1536.5451766248575,18.29145829782213,Weekly,1,1,1,2,545,4633.209837667226,0,Medium,City_17,State_6,44999,9.464890886126962,Email,Mobile,3,71.6069783820139,Low,60,0,2,1,1,5
5,25,Female,Divorced,45540,60,9053.373233188682,188.8290219574303,Monthly,0,1,0,4,622,2680.124804885254,1,Medium,City_18,State_7,68115,3.333288718410123,Phone,Online,14,63.13978796913955,High,117,0,0,1,5,1
6,38,Male,Divorced,94757,80,9691.28277068543,144.11785941469284,Weekly,0,1,1,1,628,2574.6933979365494,2,High,City_42,State_7,97701,9.909407220879444,Phone,Mobile,18,45.25871755585957,Medium,51,0,0,0,4,3
7,56,Male,Single,71203,96,9919.739287464454,257.9577724114656,Weekly,1,0,1,4,846,210.09295633179826,0,High,City_17,State_3,51164,4.768013713427609,Email,In-person,19,15.211207352944566,High,9,0,1,1,1,6
8,36,Male,Single,55081,74,7918.641559972882,174.84116811980192,Monthly,1,0,0,4,638,347.08479295068815,1,High,City_16,State_6,88777,8.314174066273765,Phone,Online,19,31.879765901346662,Low,88,1,1,0,5,0
9,40,Female,Single,91861,24,6668.6704871120455,365.829246123766,Weekly,0,0,1,2,470,37.1015394032509,2,Medium,City_85,State_6,88648,6.83452292541193,Email,Mobile,1,26.17691245024244,High,67,1,1,1,5,8
10,28,Male,Married,41350,9,3522.7294967106795,259.8669227497478,Monthly,0,0,1,2,409,4566.221128918168,0,Low,City_88,State_9,84919,9.401447570002622,SMS,In-person,19,90.75168627294556,High,30,1,0,0,5,9
11,28,Female,Married,85512,27,1796.8432920150492,73.58349441316955,Monthly,1,1,1,3,309,2041.933300088503,2,High,City_98,State_1,29699,6.6288425761781635,Email,Mobile,3,94.69383404515112,Medium,68,0,1,1,3,9
12,41,Male,Single,86809,13,881.9079337256937,377.53004883073015,Monthly,0,1,1,4,501,2342.8068806670626,1,Low,City_52,State_7,21481,6.230961814976656,SMS,Online,8,94.35661150210927,Low,75,1,0,1,4,6
13,53,Female,Divorced,72832,62,6963.644938659771,58.62215908051154,Weekly,0,0,1,3,556,4226.9347379623105,1,Medium,City_36,State_1,80711,6.875672001116612,Email,Mobile,17,116.4396626076271,Medium,116,1,2,0,3,8
14,57,Male,Divorced,58369,63,7868.761810275647,421.1340923588851,Monthly,1,0,0,3,561,3046.2315518788896,1,High,City_91,State_4,93518,8.078189789300904,Phone,In-person,1,106.68736382841368,High,18,1,1,0,2,6
15,41,Female,Married,61728,97,8281.891159304301,466.3968751022475,Monthly,0,0,1,3,729,3047.5079819529055,1,High,City_39,State_7,41334,9.08957468971727,SMS,Online,6,62.24754592552806,Low,91,1,2,1,4,0
16,20,Male,Married,47576,84,9146.273532707606,167.9981921905784,Monthly,1,0,0,4,806,1482.6721467740622,0,High,City_81,State_6,69252,3.401334100868424,Email,In-person,17,52.71764240455399,High,9,0,0,0,3,6
17,39,Male,Single,59001,58,8811.302680019899,463.80989029883614,Weekly,1,1,0,4,365,4169.541869622596,1,Medium,City_25,State_6,93462,2.807983826920993,SMS,Online,1,110.3133795365881,High,7,0,0,0,4,8
18,19,Male,Divorced,30390,50,9997.438595355117,398.57399797004376,Weekly,1,0,0,3,334,829.149880197469,0,Medium,City_42,State_5,18333,1.309147260993817,Email,Mobile,13,75.29090398553687,Medium,72,1,2,1,2,7
19,41,Female,Single,75436,26,2516.2337085757877,461.99344939184726,Monthly,0,1,0,4,790,265.7479608647395,0,Medium,City_21,State_7,89996,4.330712827392402,Email,Mobile,12,38.855846707943456,High,115,1,2,1,3,3
20,61,Male,Married,41569,68,7656.745390600885,336.47236709121535,Monthly,1,1,0,3,553,958.0167875926616,2,Low,City_68,State_9,75625,8.615665205542456,SMS,In-person,5,69.91336318724424,Low,35,0,2,0,4,4
21,47,Female,Divorced,43029,12,5905.949172510497,125.46557931649672,Monthly,0,1,0,1,316,1338.6860938728234,1,Low,City_89,State_6,30790,1.6287168577319795,SMS,Mobile,13,119.09718361005451,Low,9,1,2,1,2,2
22,55,Female,Divorced,52490,24,2686.3268112904657,448.31638608637655,Monthly,1,0,0,4,560,1411.5552892710336,2,High,City_59,State_7,15490,5.846680688170165,SMS,Online,8,102.68905691752165,Medium,53,1,1,1,5,9
23,19,Male,Married,75875,55,9820.862690640733,100.28988732366443,Weekly,1,0,0,2,555,3352.5679930938377,2,High,City_30,State_9,58055,7.25309772607958,Phone,Mobile,12,37.347167346847286,Medium,48,1,2,1,4,9
24,38,Male,Single,35867,82,8989.191237265097,114.3996699985924,Weekly,0,1,1,2,723,1089.1229366432176,2,Medium,City_57,State_7,87240,8.531677298089527,Email,Mobile,9,114.58975898047994,Low,98,0,1,0,2,1
25,50,Male,Single,39121,43,1372.3051175967528,142.82086516877823,Weekly,0,0,0,3,800,3383.2915224749227,2,Medium,City_33,State_6,27593,6.250872897779469,Email,Mobile,17,117.86814282009833,Medium,50,0,2,0,5,2
26,29,Female,Divorced,31539,41,358.9675890018565,159.08069262842648,Weekly,0,0,1,1,585,455.6608661689987,2,Medium,City_90,State_3,47746,2.6768800917365745,SMS,Mobile,14,31.58420033277275,High,102,0,2,1,2,6
27,39,Male,Married,47027,54,6914.474547093501,262.09502464420495,Weekly,1,1,0,4,306,736.0123054895452,1,High,City_89,State_1,45992,9.680826323964016,Email,Mobile,7,107.99309362765425,Low,18,1,1,0,1,7
