Bank Name,State,Date,Asset Growth (%),Revenue (Million INR),Profitability (%),Interest Rate (%),Inflation Rate (%),GDP Growth (%),Stock Market Index,Loan Portfolio (Million INR),Cost of Funds (%),Regulatory Changes (Binary),Demographic Trends,Geopolitical Events (Binary)
State Bank of India,Gujarat,2022-01-01,7.880195451712862,2781.811991811029,17.33195448159239,7.5146912632454015,3.9101566308873994,5.086880470000614,54419.0558726042,6788.682292701329,5.036842142234484,1,Positive,0
State Bank of India,Punjab,2022-01-02,4.955708563957217,3188.952670372346,15.018503704679018,6.084211337201559,5.345672738990669,6.479170934801665,52395.63248111268,6002.568851053603,5.270030649094517,0,Negative,1
State Bank of India,Manipur,2022-01-03,3.9725096617250495,2993.5337177183387,14.696098452237852,7.579384024434937,5.297575931654226,6.1044973043954975,45866.19760854694,6240.3185174712435,3.9430543038047343,0,Negative,1
State Bank of India,Karnataka,2022-01-04,5.800405125900355,3975.5710404297747,15.515188730721114,6.22041440285517,5.074966955599624,5.3780309667818695,51691.54155534851,7069.109089512078,4.427095678517844,0,Negative,0
State Bank of India,Haryana,2022-01-05,3.440873712669158,2272.879505113466,15.748703176736415,5.984699317035018,5.896916925800401,4.165304605476493,49103.03721872662,7350.2597716888395,4.440648095874413,0,Neutral,0
State Bank of India,Rajasthan,2022-01-06,2.4551799686519837,3390.2891080951877,12.430654837359079,6.361969733599097,4.180666008318947,5.280684183469908,49707.009994910615,6834.8965677929245,5.247150611519468,0,Neutral,0
State Bank of India,Gujarat,2022-01-07,2.7732783314638954,2808.637536208584,16.095703327340416,7.287340876024605,3.3921519707692718,5.40707481915365,45491.48390345177,7461.35802305678,5.025598105751611,1,Neutral,1
State Bank of India,Uttar Pradesh,2022-01-08,2.768275033746635,2856.3992298512294,13.451590081893178,5.378006083591983,5.0151265777321825,6.785666598682408,46910.62139346358,7043.7245906643575,4.5261544367361,1,Neutral,0
State Bank of India,Odisha,2022-01-09,2.911416161073766,3435.1955313163526,16.28371579503954,5.589257647616052,5.187929401431619,5.923258310746478,52905.13607533648,6148.352391188624,4.841494400943547,1,Neutral,0
State Bank of India,Tamil Nadu,2022-01-10,2.832963035896461,3384.8723026487396,16.93520876630518,7.854334476989276,4.725181720376444,4.934958749963947,49539.5883304786,6384.032501935898,5.194710107818734,1,Positive,0
