Date,Open,High,Low,Close,Adj Close,Volume
2019-10-15,283.820007,285.869995,279.399994,284.25,284.25,7685600
2020-07-30,480.709991,488.350006,477.51001,485.799988,485.799988,6608600
2021-03-31,515.669983,528.130005,515.440002,521.659973,521.659973,3503100
2020-04-15,413.0,434.980011,412.25,426.75,426.75,13561200
2020-10-22,494.690002,495.140015,482.0,485.230011,485.230011,6997900
2018-06-12,363.600006,365.980011,362.0,363.829987,363.829987,4291000
2020-12-18,533.200012,536.369995,526.02002,534.450012,534.450012,4502700
2018-09-28,379.23999,380.799988,373.730011,374.130005,374.130005,7114900
2021-11-01,689.059998,689.969971,676.539978,681.169983,681.169983,3110900
2021-03-26,502.820007,508.720001,496.679993,508.049988,508.049988,3467800
2020-04-07,380.0,381.329987,369.339996,372.279999,372.279999,7046400
2021-04-01,529.929993,540.5,527.030029,539.419983,539.419983,3938600
2021-10-13,632.179993,632.179993,622.099976,629.76001,629.76001,2420300
2018-08-08,352.209991,352.290009,346.609985,347.609985,347.609985,5394700
2020-06-04,422.390015,428.709991,410.029999,414.329987,414.329987,5410500
2020-07-09,508.399994,510.0,495.779999,507.76001,507.76001,5840500
2021-07-09,531.0,538.26001,528.580017,535.97998,535.97998,2777200
2022-02-03,421.440002,429.26001,404.279999,405.600006,405.600006,9905200
2020-03-13,330.51001,336.420013,307.390015,336.299988,336.299988,9458200
2018-03-23,307.410004,309.369995,300.359985,300.940002,300.940002,9529900
2020-01-31,347.390015,347.390015,340.980011,345.089996,345.089996,5230000
2022-01-28,386.76001,387.0,372.079987,384.359985,384.359985,11966600
2019-06-03,343.559998,347.660004,332.649994,336.630005,336.630005,7849600
2018-06-26,393.279999,404.779999,389.049988,399.390015,399.390015,15191200
2018-03-28,298.390015,298.799988,281.609985,285.769989,285.769989,18972900
2020-01-09,342.0,343.420013,334.609985,335.660004,335.660004,4709300
2021-06-16,495.0,496.459991,486.279999,492.410004,492.410004,3533200
2020-02-21,385.329987,387.320007,377.899994,380.070007,380.070007,3930100
2019-07-18,323.76001,329.850006,320.299988,325.209991,325.209991,31287100
2018-11-19,283.790009,285.089996,269.149994,270.600006,270.600006,12993800
2020-01-24,348.459991,359.850006,345.880005,353.160004,353.160004,17939700
2020-01-15,338.679993,343.170013,336.600006,339.070007,339.070007,5158000
2022-01-07,549.460022,553.429993,538.219971,541.059998,541.059998,3381700
2021-02-12,556.940002,561.25,550.849976,556.52002,556.52002,2197100
2021-08-06,524.0,526.840027,519.390015,520.549988,520.549988,1919400
2019-03-15,361.019989,364.0,358.890015,361.459991,361.459991,8444500
2020-02-04,361.0,369.570007,356.100006,369.01001,369.01001,7161500
2018-12-19,269.959991,280.869995,263.769989,266.769989,266.769989,13788400
2019-07-09,379.059998,384.76001,377.5,379.929993,379.929993,6932800
2019-06-05,354.380005,357.880005,348.709991,355.730011,355.730011,5020100
2019-05-31,347.220001,349.339996,342.920013,343.279999,343.279999,5023400
2021-03-24,533.780029,534.419983,520.0,520.809998,520.809998,4102200
2019-03-04,359.720001,362.25,348.040009,351.040009,351.040009,7487000
2020-07-10,519.72998,555.880005,511.279999,548.72998,548.72998,21605600
2020-07-24,468.769989,487.170013,467.540009,480.450012,480.450012,7746200
2019-08-13,309.769989,316.429993,308.160004,312.279999,312.279999,5289400
2018-05-30,352.369995,354.0,349.26001,353.540009,353.540009,5685500
2018-12-21,263.829987,264.5,241.289993,246.389999,246.389999,21397600
2021-11-18,691.609985,691.73999,679.73999,682.02002,682.02002,2012900
2018-04-04,273.630005,290.309998,271.220001,288.940002,288.940002,12914000
2018-05-14,327.25,330.5,327.040009,328.529999,328.529999,4089800
2020-02-18,379.299988,389.540009,379.190002,387.779999,387.779999,5173900
2021-11-09,653.700012,660.5,650.52002,655.98999,655.98999,2415600
2019-07-19,323.399994,325.850006,314.230011,315.100006,315.100006,16302500
2019-11-07,290.700012,298.190002,288.269989,289.570007,289.570007,5928500
2018-04-23,329.149994,331.220001,317.079987,318.690002,318.690002,8968000
2019-09-27,266.179993,267.440002,260.390015,263.079987,263.079987,7328300
2018-04-13,317.290009,317.48999,308.230011,311.649994,311.649994,12046600
2018-04-26,310.0,316.630005,305.579987,313.980011,313.980011,9266700
2021-04-14,554.869995,554.869995,538.530029,540.02002,540.02002,3740300
2020-01-17,341.0,341.570007,337.380005,339.670013,339.670013,6066500
2018-10-08,345.179993,352.950012,338.109985,349.100006,349.100006,12375500
2019-05-22,358.01001,370.459991,357.299988,359.730011,359.730011,6229400
2019-03-22,375.950012,376.429993,360.040009,361.01001,361.01001,8661300
2019-04-15,350.709991,352.209991,342.269989,348.869995,348.869995,8842300
2020-04-09,371.059998,372.100006,363.029999,370.720001,370.720001,7711300
2020-05-06,429.299988,439.769989,426.390015,434.26001,434.26001,6660700
2018-03-15,323.170013,323.399994,318.140015,321.089996,321.089996,5642900
